season,team,name,age,g,gs,mp,fgperc,reb,ast,stl,blk,tov,ptsg,ws,sal
2001,SAS,Tim Duncan,25,82,82,40.599998,0.50800002,12.7,3.7,0.69999999,2.5,3.2,25.5,17.799999,10.86525
2004,WAS,Gilbert Arenas,23,80,80,40.900002,0.43099999,4.6999998,5.0999999,1.7,0.30000001,3,25.5,11.5,9.3896
2009,GSW,Monta Ellis,24,64,64,41.400002,0.449,4,5.3000002,2.2,0.40000001,3.8,25.5,1.3,11
2014,OKC,Kevin Durant,26,27,27,33.799999,0.50999999,6.5999999,4.0999999,0.89999998,0.89999998,2.7,25.4,4.8000002,18.995624
2013,HOU,James Harden,24,73,73,38,0.456,4.6999998,6.0999999,1.6,0.40000001,3.5999999,25.4,12.8,13.70125
2005,MIL,Michael Redd,26,80,80,39.099998,0.44999999,4.3000002,2.9000001,1.2,0.1,2.0999999,25.4,10.8,12
2010,LAL,Kobe Bryant,32,82,82,33.900002,0.45100001,5.0999999,4.6999998,1.2,0.1,3,25.299999,10.3,24.80625
2015,CLE,LeBron James,31,76,76,35.599998,0.51999998,7.4000001,6.8000002,1.4,0.60000002,3.3,25.299999,13.6,22.971
2014,CLE,LeBron James,30,69,69,36.099998,0.48800001,6,7.4000001,1.6,0.69999999,3.9000001,25.299999,10.4,20.6444
2010,NYK,Amar'e Stoudemire,28,78,78,36.799999,0.50199997,8.1999998,2.5999999,0.89999998,1.9,3.2,25.299999,8,16.486611
2000,BOS,Paul Pierce,23,82,82,38,0.454,6.4000001,3.0999999,1.7,0.80000001,3.2,25.299999,10.4,1.60884
2008,OKC,Kevin Durant,20,74,74,39,0.47600001,6.5,2.8,1.3,0.69999999,3,25.299999,7.9000001,4.48404
2007,PHX,Amar'e Stoudemire,25,79,79,33.900002,0.58999997,9.1000004,1.5,0.80000001,2.0999999,2.2,25.200001,14.6,13.762775
2006,BKN,Vince Carter,30,82,82,38.099998,0.454,6,4.8000002,1,0.40000001,2.5999999,25.200001,10.5,15.101625
2001,LAL,Kobe Bryant,23,80,80,38.299999,0.46900001,5.5,5.5,1.5,0.40000001,2.8,25.200001,12.7,11.25
2015,POR,Damian Lillard,25,75,75,35.700001,0.419,4,6.8000002,0.89999998,0.40000001,3.2,25.1,9.1999998,4.236287
2005,OKC,Ray Allen,30,78,78,38.700001,0.454,4.3000002,3.7,1.3,0.2,2.4000001,25.1,9.5,13.22314
2002,DAL,Dirk Nowitzki,24,80,80,39,0.463,9.8999996,3,1.4,1,1.9,25.1,16.1,10.06775
2006,HOU,Yao Ming,26,48,48,33.799999,0.51599997,9.3999996,2,0.40000001,2,3.5,25,7.4000001,12.455
1995,SAS,David Robinson,30,82,82,36.799999,0.51599997,12.2,3,1.4,3.3,2.3,25,18.299999,7.7
2006,BOS,Paul Pierce,29,47,46,37,0.43900001,5.9000001,4.0999999,1,0.30000001,3.2,25,3.8,15.101625
2010,CHI,Derrick Rose,22,81,81,37.400002,0.44499999,4.0999999,7.6999998,1,0.60000002,3.4000001,25,13.1,5.54616
2009,DAL,Dirk Nowitzki,31,81,80,37.5,0.48100001,7.6999998,2.7,0.89999998,1,1.8,25,12.3,19.795714
2006,ATL,Joe Johnson,25,57,57,41.400002,0.47099999,4.1999998,4.4000001,1.1,0.2,3.0999999,25,5.0999999,12.744189
2000,GSW,Antawn Jamison,24,82,82,41.400002,0.442,8.6999998,2,1.4,0.30000001,2.4000001,24.9,6.6999998,2.6784
2006,DEN,Allen Iverson,31,50,49,42.400002,0.454,3,7.1999998,1.8,0.2,4,24.799999,4.5999999,17.184375
2005,LAC,Elton Brand,26,79,79,39.200001,0.52700001,10,2.5999999,1,2.5,2.2,24.700001,14.8,13.152
2001,TOR,Vince Carter,25,60,60,39.799999,0.428,5.1999998,4,1.6,0.69999999,2.5999999,24.700001,7,3.073032
2006,HOU,Tracy McGrady,27,71,71,35.799999,0.43099999,5.3000002,6.5,1.3,0.5,3,24.6,8.6000004,16.9015
2006,DAL,Dirk Nowitzki,28,78,78,36.200001,0.50199997,8.8999996,3.4000001,0.69999999,0.80000001,2.0999999,24.6,16.299999,15.101625
2008,SAC,Kevin Martin,25,51,46,38.200001,0.41999999,3.5999999,2.7,1.2,0.2,2.9000001,24.6,4.6999998,8.760335
2007,MIA,Dwyane Wade,26,51,49,38.299999,0.46900001,4.1999998,6.9000001,1.7,0.69999999,4.4000001,24.6,3.3,13.04125
2004,IND,Metta World Peace,25,7,7,41.599998,0.49599999,6.4000001,3.0999999,1.7,0.89999998,2.4000001,24.6,1.3,6.157895
1999,SAC,Chris Webber,26,75,75,38.400002,0.48300001,10.5,4.5999999,1.6,1.7,2.9000001,24.5,10.7,11
2001,SAC,Chris Webber,28,54,54,38.400002,0.495,10.1,4.8000002,1.7,1.4,2.9000001,24.5,8.6000004,12.75
2014,NOP,Anthony Davis,21,68,68,36.099998,0.53500003,10.2,2.2,1.5,2.9000001,1.4,24.4,14,5.60724
2005,HOU,Tracy McGrady,26,47,47,37.099998,0.40599999,6.5,4.8000002,1.3,0.89999998,2.5999999,24.4,4.0999999,15.69425
2004,IND,Jermaine O'Neal,26,44,41,34.799999,0.45199999,8.8000002,1.9,0.60000002,2,3,24.299999,3.8,14.796
2015,NOP,Anthony Davis,22,61,61,35.5,0.493,10.3,1.9,1.3,2,2,24.299999,7.1999998,7.07073
2014,NYK,Carmelo Anthony,30,40,40,35.700001,0.44400001,6.5999999,3.0999999,1,0.40000001,2.2,24.200001,2.9000001,22.458
2005,BKN,Vince Carter,29,79,79,36.799999,0.43000001,5.8000002,4.3000002,1.2,0.69999999,2.7,24.200001,9.3000002,13.843156
2003,MIN,Kevin Garnett,27,82,82,39.400002,0.49900001,13.9,5,1.5,2.2,2.5999999,24.200001,18.299999,28
2003,SAC,Peja Stojakovic,26,81,81,40.299999,0.47999999,6.3000002,2.0999999,1.3,0.2,1.9,24.200001,13.5,6.25
1999,OKC,Gary Payton,31,82,82,41.799999,0.44800001,6.5,8.8999996,1.9,0.2,2.7,24.200001,13.9,11.020473
1996,GSW,Latrell Sprewell,26,80,79,41.900002,0.449,4.5999999,6.3000002,1.7,0.60000002,4,24.200001,8.1000004,7
2014,SAC,DeMarcus Cousins,24,59,59,34.099998,0.46700001,12.7,3.5999999,1.5,1.7,4.3000002,24.1,6,13.70125
2013,LAC,Blake Griffin,24,80,80,35.799999,0.528,9.5,3.9000001,1.2,0.60000002,2.8,24.1,12.2,16.4415
2009,IND,Danny Granger,26,62,62,36.700001,0.428,5.5,2.8,1.5,0.80000001,2.5,24.1,6.1999998,9.9305
